                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.88441,                0.00087,                0.34349,                0.76153,                 0.7337,                    0.5,                0.53347,                0.15258,                0.55266,                0.38462,                0.33307,                 0.1032,                 2.7955,                 4.9055,                 1.0754,                 1.0618,               0.003268,               0.003268,               0.003268
                     70,                0.85034,                0.00023,                0.34527,                0.71793,                0.70932,                0.53846,                0.56628,                0.17559,                0.48381,                0.30769,                0.27746,                0.07643,                 2.8734,                 4.9894,                 1.0883,                 1.0893,               0.003169,               0.003169,               0.003169
                     71,                0.68881,                0.00015,                0.31428,                0.69316,                0.73143,                0.53846,                0.56877,                  0.214,                0.41338,                0.38462,                0.26324,                 0.0822,                  2.893,                 5.4096,                 1.1036,                 1.1105,                0.00307,                0.00307,                0.00307
                     72,                0.73499,                0.00058,                0.33853,                0.74956,                0.70357,                0.57692,                0.53198,                0.22077,                0.44972,                0.37746,                  0.259,                0.07518,                 2.6966,                 5.5027,                 1.0528,                 1.0693,               0.002971,               0.002971,               0.002971
                     73,                0.84489,                0.00018,                0.34171,                0.76825,                0.65585,                0.53846,                0.47274,                0.20717,                 0.4545,                0.38454,                0.26456,                0.06235,                 2.5992,                 5.7619,                 1.0646,                 1.0298,               0.002872,               0.002872,               0.002872
                     74,                0.75316,                0.00014,                0.31275,                0.75637,                0.73356,                0.57692,                0.53632,                0.19373,                0.47345,                0.38059,                0.28406,                0.06565,                  2.701,                 6.0101,                  1.057,                 1.0692,               0.002773,               0.002773,               0.002773
                     75,                0.67767,                0.00013,                0.29527,                 0.7228,                0.73389,                0.53068,                0.53525,                0.19202,                0.39933,                0.38462,                0.32366,                0.06908,                 2.6071,                 6.1442,                 1.1072,                 1.0548,               0.002674,               0.002674,               0.002674
                     76,                0.68891,                0.00018,                0.27406,                 0.7406,                0.68041,                0.57692,                0.53211,                  0.206,                0.39569,                0.34615,                0.25164,                0.06623,                 2.7095,                 6.2456,                 1.0953,                 1.0665,               0.002575,               0.002575,               0.002575
                     77,                0.71538,                0.00037,                0.31487,                0.74943,                0.71746,                0.53846,                0.56534,                0.16378,                0.32928,                0.30769,                0.21401,                 0.0619,                 2.9894,                 6.2985,                 1.1302,                 1.1088,               0.002476,               0.002476,               0.002476
                     78,                0.70343,                0.00038,                0.29592,                0.72892,                0.69771,                0.53289,                0.55189,                0.21786,                0.37996,                0.34615,                0.25617,                0.06727,                  2.723,                 6.3594,                 1.1332,                 1.0702,               0.002377,               0.002377,               0.002377
                     79,                0.63963,                 0.0002,                0.28641,                0.72474,                0.86621,                0.49816,                0.58996,                0.19764,                 0.3529,                0.30769,                0.25319,                0.06506,                 2.9081,                 6.3142,                  1.151,                 1.1207,               0.002278,               0.002278,               0.002278
                     80,                0.65669,                0.00049,                0.32828,                0.70239,                 0.8564,                    0.5,                0.59169,                0.18095,                0.48514,                0.26923,                0.25888,                0.05936,                 2.8405,                 6.4464,                 1.1676,                 1.1002,               0.002179,               0.002179,               0.002179
                     81,                 0.6608,                0.00014,                0.30688,                0.72365,                0.85414,                    0.5,                0.57805,                0.20692,                0.45545,                0.26923,                0.24526,                0.06309,                 2.7457,                 6.5924,                 1.1082,                 1.0891,                0.00208,                0.00208,                0.00208
                     82,                0.66087,                0.00025,                0.29745,                0.73547,                0.79344,                    0.5,                0.56127,                0.17193,                0.36603,                0.23077,                0.17831,                0.05701,                 2.9674,                 6.7198,                 1.2621,                  1.134,               0.001981,               0.001981,               0.001981
                     83,                0.69373,                0.00029,                0.27256,                0.72278,                0.85129,                    0.5,                0.56458,                 0.1818,                0.39227,                0.23077,                0.18079,                0.05578,                  2.839,                  6.809,                 1.2538,                 1.1075,               0.001882,               0.001882,               0.001882
                     84,                0.64331,                0.00022,                0.29457,                0.70586,                0.85438,                    0.5,                0.57359,                0.16293,                0.39331,                0.23077,                0.19144,                0.05083,                 2.8444,                 6.9409,                 1.2232,                 1.0864,               0.001783,               0.001783,               0.001783
                     85,                0.68843,                0.00025,                0.26678,                0.72011,                 0.8462,                    0.5,                 0.5697,                0.17059,                0.27875,                0.23077,                0.15856,                0.04872,                 2.7298,                 6.9572,                   1.18,                 1.0683,               0.001684,               0.001684,               0.001684
                     86,                0.58908,                0.00013,                0.25477,                0.73282,                0.72137,                0.53846,                0.57212,                0.18237,                0.40684,                0.30769,                0.25668,                0.05994,                 2.6398,                 6.9602,                 1.0866,                 1.0464,               0.001585,               0.001585,               0.001585
                     87,                0.54674,                0.00011,                0.25002,                0.71315,                0.74681,                    0.5,                0.55237,                0.20253,                0.39545,                0.38462,                0.28465,                0.05628,                 2.8657,                 6.9416,                 1.1005,                 1.0855,               0.001486,               0.001486,               0.001486
                     88,                0.56682,                 0.0001,                0.24554,                0.75572,                0.80441,                0.46154,                0.57118,                0.20885,                0.36349,                0.34615,                0.24684,                0.05359,                 2.5388,                 7.0352,                 1.0548,                 1.0076,               0.001387,               0.001387,               0.001387
                     89,                0.59104,                0.00069,                0.26097,                0.76051,                0.73404,                0.53109,                 0.5686,                0.20112,                 0.3315,                0.30526,                0.22457,                0.05231,                 2.5807,                 7.2136,                 1.0723,                 1.0124,               0.001288,               0.001288,               0.001288
                     90,                0.54881,                0.00011,                0.22829,                0.67546,                0.69802,                0.53365,                0.54248,                0.21005,                0.27915,                0.26923,                  0.191,                0.04788,                 2.5456,                 7.2262,                  1.095,                 1.0099,               0.001189,               0.001189,               0.001189
                     91,                0.59269,                  8e-05,                0.24253,                0.69584,                0.69867,                0.53522,                0.55206,                0.22343,                0.45657,                0.42019,                0.32074,                0.07976,                 2.7136,                 7.2202,                 1.1074,                 1.0592,                0.00109,                0.00109,                0.00109
                     92,                0.61197,                0.00012,                0.24027,                0.71192,                 0.6897,                0.53846,                0.55341,                0.19551,                0.44105,                0.34615,                0.27869,                0.06022,                 2.7293,                  7.163,                 1.1136,                 1.0648,               0.000991,               0.000991,               0.000991
                     93,                0.56356,                  6e-05,                0.23053,                0.71609,                0.71424,                0.53846,                0.56188,                0.17531,                0.39862,                0.30769,                0.26282,                0.05978,                 2.6982,                 7.1138,                   1.12,                 1.0597,               0.000892,               0.000892,               0.000892
                     94,                0.49232,                0.00012,                0.22481,                0.70614,                 0.7192,                0.53846,                0.56471,                0.17426,                0.49952,                0.38462,                0.32736,                0.08006,                 2.7149,                   7.13,                  1.132,                 1.0694,               0.000793,               0.000793,               0.000793
                     95,                0.48547,                  6e-05,                0.22599,                0.70236,                0.64884,                0.56882,                0.56217,                0.18042,                0.43002,                0.37749,                0.28052,                0.06099,                 2.6998,                 7.1287,                 1.1288,                 1.0601,               0.000694,               0.000694,               0.000694
                     96,                0.49299,                  6e-05,                0.22994,                0.70642,                0.64929,                 0.5699,                0.55641,                0.19179,                0.49839,                0.38462,                 0.2977,                0.07305,                 2.7066,                 7.0915,                  1.086,                 1.0642,               0.000595,               0.000595,               0.000595
                     97,                0.50866,                  7e-05,                0.21943,                0.71401,                0.64893,                0.56903,                 0.5487,                0.18719,                 0.3927,                0.30769,                0.23376,                0.05343,                 2.6967,                 7.1355,                 1.1037,                 1.0639,               0.000496,               0.000496,               0.000496
                     98,                0.54195,                0.00039,                0.23753,                0.75346,                 0.6489,                0.56895,                0.55653,                0.19383,                0.39137,                0.30769,                 0.2353,                0.05401,                 2.6929,                  7.085,                 1.1361,                 1.0599,               0.000397,               0.000397,               0.000397
                     99,                0.52029,                  4e-05,                0.22701,                   0.71,                0.69753,                0.53245,                0.55544,                0.18772,                0.39092,                0.30769,                 0.2353,                0.05401,                 2.7001,                 7.1322,                 1.1208,                 1.0632,               0.000298,               0.000298,               0.000298
